group,dry,mixed,rain,snow,rain_vs_dry,snow_vs_dry,mixed_vs_dry
골프 부킹,5.2316273046875,3.6523149999999998,5.0600179,2.906753333333333,-0.17160940468749963,-2.3248739713541666,-1.5793123046875
골프 예약,5.591433046875,3.9920675,5.6655297,2.71171,0.07409665312499936,-2.879723046875,-1.599365546875
골프장,27.232559453125,22.291427499999998,28.3427657,23.235178333333334,1.110206246875002,-3.9973811197916653,-4.9411319531250015
라운딩,9.7566250390625,7.05926,9.77425,8.009306666666667,0.01762496093749988,-1.7473183723958332,-2.6973650390625004
